Analytical_Melt_Vol,,ISALE,
X,Y,X,Y
104.06221460937692,2628133.0424647387,95.95198118348424,7986537.74133384
115.5621871191973,3541559.160746314,108.3157091534027,9872521.404545363
126.47730564479113,4637910.914565189,117.8649960678969,11490895.793759404
138.8266860370266,6148988.253321262,136.7361990651873,16974856.058567468
151.9393352650802,8039360.001259372,151.8548877308682,20917524.428196818
165.32457171451708,10380922.68717365,180.06063739031023,31924559.87437724
179.36146770684385,13881563.645998875,196.67448763306948,38773859.733961396
197.4510364913215,18164909.97685737,217.44268276986273,42456537.89877172
218.63598505293902,23889389.66384954,249.1622616179115,61045225.124722205
239.28748486162183,31100849.116671357,272.71460829068735,71188352.39779902
261.88872470805535,40734566.98307833,323.85251367405345,102156602.15570022
287.46091893998357,53652969.53312845,361.7689244030977,123175462.63962217
314.61244702313326,70195847.9749799,437.3484364979407,182036633.15806058
344.3281300569337,92016948.08204988,486.0652997473921,224477467.9634279
377.9518216225722,120275949.91991563,537.5253875383405,236536930.27093807
412.4494014921235,155037827.122417,618.410971262613,283577868.4239536
444.9883298229008,203837292.89209127,692.8667344176132,313483913.5319107
519.7910573879623,316128692.2347871,874.588704055109,396948559.216496
578.1517841968323,426847059.3780214,985.8966805194423,427410330.0843801
638.3149405922927,566892672.8145168,1069.7489064231759,452977335.6914796
692.5406701838137,704419048.2115744,1194.8553818094927,667087876.3343374
753.5380062927729,936290991.0778767,1326.9714061320217,818945419.3446609
834.3776489857962,1254615681.1431475,1580.3510946081346,1239571616.9113507
915.8503319559535,1653569595.6455872,1755.0924350136963,1520593771.151923
1002.3577089579596,2153700049.889711,2090.2182750892807,2304981222.0415373
1097.0370075659541,2801590111.663768,2321.3384153712086,2823006454.486397
1204.1624628352629,3663895498.4521265,2764.5967858095687,4250620758.390256
1321.7467710168926,4803644400.459299,3070.2853184418163,5203456505.198857
1450.8150237288335,6282673216.125727,3677.8541658495365,8177080932.184853
1592.4826400288812,8253738454.747354,3967.440714849072,8710368247.744585
1747.9873626539804,10803779387.399542,,
1918.6765522893088,14147392538.403381,,
2112.180762307507,18582855713.36217,,
2331.9888146557246,24461720717.6104,,
2574.6745679221376,32136730832.19078,,
2842.6120245829716,42326050311.63999,,
3138.430719277776,55809722571.56009,,
3454.962936921717,72863585129.23932,,
3825.6716650273925,95041211595.67566,,
