Dataset 1,,Dataset 2,,Dataset 3,
X,Y,X,Y,X,Y
0.9988832981351682,1.836378713805773,1.0147184492105852,6.678446387248839,0.9988832981351682,40.24873225176466
1.1431740146973952,2.6200383147284043,1.1793757478979812,10.175206348949843,1.1180696392001925,51.92408904755949
1.327110590269811,4.141524794631179,1.3677425454935315,15.843769192007253,1.4663866338063927,123.33889990603757
1.5233791974743374,6.2950776193895095,1.5775661812322805,24.374142409111037,1.7735324390533356,229.66805785039193
1.7514975014563787,9.854309423253175,1.8432375351663333,41.167724099212975,2.0113403997490966,326.7156495720281
2.0091598317645176,13.559126692814585,2.0694077982422883,52.302858503907416,2.4164527225982733,552.9480272946184
2.330249351268224,22.694376570983156,2.397040245313407,86.7684584837438,2.82804524500202,887.0052223559521
2.682590392679267,34.9012046706249,2.796289845435839,138.55879991603294,3.524663200181389,1711.3440693662262
3.0842058430178074,53.42608030301933,3.2228090907416505,214.33612884850038,4.125016355705341,2765.6143368040566
3.537004243885164,80.29205934641352,3.742819469404717,337.4600657105384,4.946581962692184,4646.984273182898
4.061974364860993,122.28962723299531,4.2848285964678094,510.1152971194678,5.457754608341435,6063.879689550873
4.80696299306849,199.56280291211596,4.9428784753284045,737.2215594484878,6.246385996110729,9592.319571128799
5.324911698835545,253.70539911936322,5.618102937564455,1129.5089277314482,7.4727131333421655,16231.8490238821
6.1348373041926125,394.4884853256914,6.5870941979300675,1869.179595357622,9.310469580046412,34308.340459837425
7.071224002825618,573.4269798769694,7.4388357053086835,2699.3504618831666,10.190534557545655,40622.01039273036
8.06153920914698,816.4917110449848,8.651286520324485,4275.107731004267,12.680756304625106,91207.53309374722
9.504159810942014,1272.0844744928088,9.933810758113824,7268.812309217136,14.840659713699818,159890.11418933462
10.578403487471679,1512.6541282182902,11.275655847721282,9105.50915423071,17.28971816752604,274013.07907952834
12.374266348494059,2283.4273337300847,13.015292531405775,12948.356276928485,23.362640878838786,829839.3944940912
14.146766997239787,3001.652699557958,15.196092985597504,19259.688219711315,26.0173074658816,1077902.6653368454
16.365689570741182,4124.598195417131,17.61760754307439,27935.86791680824,32.04108899861161,3344461.9095462975
18.83553033563426,5486.302483148561,20.431716062373024,40752.07411869107,39.724789461538265,9291280.907582523
21.59168764020233,7333.789293796134,24.20049649127965,66721.10406445577,47.87907927079181,25463377.516007893
24.765827027372765,9292.643422819177,26.58969996279546,76257.1195500376,52.55934378277915,31082047.493053123
28.126077504175715,12917.353116933158,30.936367524176557,136352.37588506626,60.742594903992,48710474.32696387
32.799400167683736,19605.738925111113,36.16091507038061,226804.53890643804,72.51932358675569,80851563.49040003
37.4705478162193,27082.548691848366,41.607778632599995,353810.24501393933,94.47678727049694,189096585.84379876
43.306704260097334,38960.97992275318,48.13015113027239,569200.8633665316,102.87866275989022,209836181.52696997
49.90088840333665,57669.86379155407,54.140293913311865,797315.4884283846,144.27384939935874,588359894.7720947
56.78301677469932,92903.91647471678,61.970798597672655,1418917.851853739,198.1263269454523,1454866888.2894878
64.94179111334824,165538.7563751912,73.39267993458485,2602468.0450863764,225.75525599982976,1945584882.7234356
74.6155863519267,294788.88217181986,84.60492294361929,4373129.749927991,272.08008653209697,3522977247.2624426
86.63985956903025,551683.1945607704,98.17378464726376,7843827.23293618,349.93681771479305,7693903484.783939
99.29388762270096,906021.9705984858,110.90761833081041,10024810.902796142,400.43211683657205,10083997117.330708
113.46855749021142,1409662.5505936001,134.55640756509376,15903625.602490325,479.9267676303862,18913975858.77025
132.31777568073645,2228815.539049892,155.5334079491876,22211941.55154383,595.7973164472625,35024988455.00323
151.38889631922032,3277814.4392025727,177.86986772228246,30915135.869623248,669.2226054136827,40350140216.071465
176.0227662693331,5095943.331025306,203.3887200950223,42944860.76450153,782.5266985147329,45728557849.86141
201.79549233071006,6994858.151850887,233.8923078318104,56039182.079142936,,
234.70138429781798,10750652.83390424,269.4593046286342,77362788.81914923,,
268.49577172643575,15076137.679037606,311.69829694668624,107486057.61312462,,
308.66366315929434,21103518.990482237,365.24527587027916,153374576.18145058,,
359.1137257975678,31929469.90520292,412.955101728635,176333708.2011053,,
405.140651944628,36392617.223443896,470.891752146931,219048033.96427074,,
466.76100672536575,45462382.66895668,555.4089998122107,258758412.20040497,,
538.6386379546713,51562786.37510724,614.8372237730595,269250282.9746754,,
608.9558010549033,55928475.87582254,729.6927483202585,340015259.4886196,,
712.8253142858641,88296936.90984571,824.6478178371148,369514315.6727806,,
810.06448108505,109803837.29461831,958.3864201975415,411538156.9652808,,
939.5520099097646,152412193.85107797,1044.0723391776207,415944964.7000648,,
1033.1817351939894,168460278.84933934,,,,
